Datetime,Open,High,Low,Close,Volume
2022-06-25 22:07:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-25 22:08:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-25 22:09:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-25 22:10:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-25 22:11:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-25 22:12:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-25 22:13:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-25 22:14:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-25 22:15:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-25 22:16:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-25 22:17:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-25 22:18:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-25 22:19:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-25 22:20:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-25 22:21:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-25 22:22:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-25 22:23:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-25 22:24:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-25 22:25:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-25 22:26:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-25 22:27:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-25 22:28:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-25 22:29:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-25 22:30:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-25 22:31:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-25 22:32:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-25 22:33:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-25 22:34:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-25 22:35:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-25 22:36:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-25 22:37:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-25 22:38:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-25 22:39:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-25 22:40:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-25 22:41:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-25 22:42:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-25 22:43:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-25 22:44:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-25 22:45:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-25 22:46:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-25 22:47:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-25 22:48:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-25 22:49:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-25 22:50:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-25 22:51:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-25 22:52:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-25 22:53:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-25 22:54:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-25 22:55:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-25 22:56:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-25 22:57:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-25 22:58:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-25 22:59:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-25 23:00:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-25 23:01:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-25 23:02:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-25 23:03:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-25 23:04:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-25 23:05:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-25 23:06:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-25 23:07:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-25 23:08:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-25 23:09:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-25 23:10:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-25 23:11:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-25 23:12:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-25 23:13:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-25 23:14:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-25 23:15:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-25 23:16:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-25 23:17:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-25 23:18:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-25 23:19:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-25 23:20:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-25 23:21:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-25 23:22:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-25 23:23:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-25 23:24:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-25 23:25:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-25 23:26:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-25 23:27:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-25 23:28:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-25 23:29:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-25 23:30:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-25 23:31:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-25 23:32:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-25 23:33:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-25 23:34:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-25 23:35:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-25 23:36:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-25 23:37:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-25 23:38:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-25 23:39:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-25 23:40:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-25 23:41:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-25 23:42:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-25 23:43:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-25 23:44:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-25 23:45:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-25 23:46:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-25 23:47:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-25 23:48:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-25 23:49:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-25 23:50:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-25 23:51:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-25 23:52:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-25 23:53:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-25 23:54:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-25 23:55:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-25 23:56:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-25 23:57:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-25 23:58:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-25 23:59:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 00:00:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 00:01:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 00:02:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 00:03:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 00:04:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 00:05:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 00:06:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 00:07:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 00:08:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 00:09:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 00:10:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 00:11:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 00:12:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 00:13:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 00:14:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 00:15:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 00:16:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 00:17:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 00:18:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 00:19:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 00:20:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 00:21:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 00:22:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 00:23:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 00:24:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 00:25:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 00:26:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 00:27:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 00:28:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 00:29:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 00:30:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 00:31:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 00:32:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 00:33:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 00:34:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 00:35:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 00:36:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 00:37:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 00:38:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 00:39:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 00:40:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 00:41:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 00:42:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 00:43:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 00:44:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 00:45:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 00:46:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 00:47:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 00:48:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 00:49:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 00:50:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 00:51:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 00:52:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 00:53:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 00:54:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 00:55:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 00:56:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 00:57:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 00:58:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 00:59:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 01:00:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 01:01:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 01:02:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 01:03:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 01:04:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 01:05:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 01:06:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 01:07:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 01:08:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 01:09:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 01:10:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 01:11:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 01:12:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 01:13:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 01:14:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 01:15:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 01:16:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 01:17:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 01:18:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 01:19:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 01:20:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 01:21:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 01:22:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 01:23:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 01:24:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 01:25:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 01:26:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 01:27:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 01:28:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 01:29:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 01:30:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 01:31:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 01:32:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 01:33:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 01:34:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 01:35:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 01:36:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 01:37:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 01:38:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 01:39:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 01:40:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 01:41:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 01:42:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 01:43:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 01:44:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 01:45:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 01:46:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 01:47:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 01:48:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 01:49:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 01:50:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 01:51:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 01:52:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 01:53:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 01:54:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 01:55:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 01:56:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 01:57:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 01:58:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 01:59:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 02:00:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 02:01:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 02:02:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 02:03:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 02:04:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 02:05:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 02:06:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 02:07:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 02:08:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 02:09:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 02:10:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 02:11:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 02:12:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 02:13:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 02:14:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 02:15:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 02:16:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 02:17:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 02:18:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 02:19:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 02:20:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 02:21:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 02:22:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 02:23:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 02:24:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 02:25:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 02:26:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 02:27:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 02:28:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 02:29:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 02:30:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 02:31:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 02:32:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 02:33:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 02:34:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 02:35:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 02:36:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 02:37:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 02:38:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 02:39:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 02:40:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 02:41:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 02:42:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 02:43:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 02:44:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 02:45:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 02:46:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 02:47:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 02:48:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 02:49:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 02:50:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 02:51:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 02:52:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 02:53:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 02:54:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 02:55:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 02:56:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 02:57:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 02:58:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 02:59:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 03:00:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 03:01:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 03:02:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 03:03:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 03:04:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 03:05:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 03:06:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 03:07:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 03:08:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 03:09:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 03:10:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 03:11:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 03:12:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 03:13:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 03:14:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 03:15:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 03:16:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 03:17:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 03:18:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 03:19:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 03:20:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 03:21:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 03:22:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 03:23:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 03:24:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 03:25:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 03:26:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 03:27:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 03:28:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 03:29:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 03:30:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 03:31:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 03:32:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 03:33:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 03:34:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 03:35:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 03:36:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 03:37:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 03:38:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 03:39:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 03:40:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 03:41:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 03:42:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 03:43:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 03:44:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 03:45:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 03:46:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 03:47:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 03:48:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 03:49:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 03:50:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 03:51:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 03:52:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 03:53:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 03:54:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 03:55:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 03:56:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 03:57:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 03:58:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 03:59:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 04:00:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 04:01:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 04:02:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 04:03:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 04:04:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 04:05:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 04:06:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 04:07:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 04:08:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 04:09:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 04:10:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 04:11:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 04:12:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 04:13:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 04:14:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 04:15:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 04:16:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 04:17:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 04:18:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 04:19:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 04:20:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 04:21:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 04:22:00,0.89487,0.89487,0.89487,0.89487,0.0
2022-06-26 04:23:00,0.89487,0.89487,0.89487,0.89487,0.0
